2018-06-25 12:44:57.2764 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:45:02.8633 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:45:03.0645 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:45:08.1358 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:45:11.1651 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:45:15.4698 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:45:59.8967 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:46:02.9221 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:46:04.2874 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:49:40.3448 | INFO | Eshop.MvcApplication | Application Start | 
2018-06-25 12:49:41.9054 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:49:41.9474 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:49:55.8195 | INFO | Eshop.Controllers.HomeController | Get goods from category:  | 
2018-06-25 12:50:04.4094 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-25 12:50:04.6750 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-25 12:50:04.6907 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-25 12:50:04.7483 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:50:04.7698 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:50:10.3977 | INFO | Eshop.Controllers.HomeController | Get goods from category:  | 
2018-06-25 12:50:11.8215 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-25 12:50:11.9426 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-25 12:50:11.9631 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-25 12:50:20.7757 | INFO | Eshop.Controllers.HomeController | Get goods from category:  | 
2018-06-25 12:50:22.6077 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-25 12:50:22.6663 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-25 12:50:22.6790 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-25 12:50:56.7045 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:51:05.4341 | INFO | Eshop.Controllers.HomeController | Get goods from category:  | 
2018-06-25 12:51:06.7104 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-25 12:51:06.8862 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-25 12:51:06.9018 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-25 12:51:07.0239 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:52:33.1268 | INFO | Eshop.MvcApplication | Application Start | 
